Date,Country,avg_ELD,avg_Q,avg_Qb
1/1/10,Afghanistan,0,8.115871342,30.18451491
1/1/10,Albania,0,14.08625896,32.81350928
1/1/10,Algeria,0,22.89401573,43.48503424
1/1/10,Angola,1.506642259,56.81602259,52.11325687
1/1/10,Antarctica,0,-20.48932524,6.552769074
1/1/10,Argentina,2.259691008,44.97098871,51.17649884
1/1/10,Armenia,0,4.097754785,26.53630097
1/1/10,Australia,3.10118571,56.06331038,58.12532101
1/1/10,Austria,0,0.284380442,23.56424565
1/1/10,Azerbaijan,0,13.05712917,32.29019004
1/1/10,Bangladesh,0.002180118,41.24463131,47.094117
1/1/10,Belarus,0,-7.942881869,17.18472477
1/1/10,Belgium,0,7.846846619,28.46830473
1/1/10,Belize,2.619136107,59.14420279,52.39596058
1/1/10,Benin,3.110742951,50.29381647,57.50980385
1/1/10,Bhutan,0,9.069611291,29.51456307
1/1/10,Bolivia,6.097876186,58.31368477,51.55212391
1/1/10,Bosnia and Herzegovina,0,7.638663444,28.52546572
1/1/10,Botswana,1.776871521,59.28280144,55.41324382
1/1/10,Brazil,6.599848189,68.52252554,55.39858353
1/1/10,Brunei,10.65932887,73.47096143,55.78572491
1/1/10,Bulgaria,0,7.7078978,28.30823494
1/1/10,Burkina Faso,0.00182677,37.50761756,56.12077948
1/1/10,Burundi,0.110860295,50.00748357,50.10602102
1/1/10,Cambodia,4.619395887,63.97140985,56.4786853
1/1/10,Cameroon,2.159421382,52.65007343,55.36514478
1/1/10,Canada,0,-18.8883215,7.524509597
1/1/10,Central African Republic,0.579422051,49.02800676,56.46377123
1/1/10,Chad,0.002876417,31.67763725,51.95024904
1/1/10,Chile,0.002325209,27.23949236,41.59141231
1/1/10,China,0.000981379,-2.883722757,21.18476714
1/1/10,Colombia,5.769984361,63.47513261,54.88413647
1/1/10,Costa Rica,3.335081818,59.5412698,52.79429757
1/1/10,Croatia,0,8.94787301,29.48224712
1/1/10,Cuba,1.063835054,53.19843271,51.52143829
1/1/10,Cyprus,0,30.51363983,41.92589264
1/1/10,Czechia,0,0.975788592,23.89320974
1/1/10,Democratic Republic of the Congo,4.113428937,64.57411036,54.24043458
1/1/10,Denmark,0,3.802907613,25.999015
1/1/10,Djibouti,0.122842968,51.11067988,52.77189636
1/1/10,Dominican Republic,1.807756244,59.19078596,52.40423018
1/1/10,East Timor,7.796360806,70.29798909,55.20697483
